model_name,task,accuracy,precision,recall,f1_score,auc_roc,training_samples,validation_samples,cross_validation_folds,hyperparameter_optimization
Random_Forest_GRS,Disease_Risk_Prediction,0.797,0.759,0.824,0.79,0.751,5562,496,5,Random_Search
Random_Forest_GRS,Treatment_Response_Prediction,0.718,0.71,0.774,0.741,0.819,3089,572,10,Random_Search
Random_Forest_GRS,Biomarker_Discovery,0.804,0.797,0.809,0.803,0.818,6231,1212,10,Random_Search
Random_Forest_GRS,Drug_Dosing_Optimization,0.853,0.817,0.889,0.851,0.796,7782,1432,10,Grid_Search
Random_Forest_GRS,Adverse_Event_Prediction,0.756,0.756,0.768,0.762,0.756,5028,984,10,Bayesian_Optimization
Random_Forest_GRS,Prognosis_Prediction,0.789,0.79,0.743,0.766,0.812,9144,1303,10,Bayesian_Optimization
XGBoost_GRS,Disease_Risk_Prediction,0.821,0.861,0.876,0.868,0.837,9785,1882,5,Random_Search
XGBoost_GRS,Treatment_Response_Prediction,0.851,0.851,0.807,0.829,0.889,2369,1389,10,Bayesian_Optimization
XGBoost_GRS,Biomarker_Discovery,0.817,0.817,0.815,0.816,0.836,4593,1639,5,Grid_Search
XGBoost_GRS,Drug_Dosing_Optimization,0.763,0.776,0.735,0.755,0.731,6926,205,5,Grid_Search
XGBoost_GRS,Adverse_Event_Prediction,0.714,0.781,0.716,0.747,0.762,6937,1343,10,Grid_Search
XGBoost_GRS,Prognosis_Prediction,0.725,0.72,0.742,0.731,0.784,2804,322,10,Random_Search
Neural_Network_GRS,Disease_Risk_Prediction,0.75,0.738,0.726,0.732,0.745,3283,803,10,Grid_Search
Neural_Network_GRS,Treatment_Response_Prediction,0.729,0.686,0.737,0.71,0.756,7898,696,5,Grid_Search
Neural_Network_GRS,Biomarker_Discovery,0.723,0.703,0.72,0.711,0.791,1915,1729,5,Grid_Search
Neural_Network_GRS,Drug_Dosing_Optimization,0.638,0.652,0.659,0.655,0.61,3344,973,5,Bayesian_Optimization
Neural_Network_GRS,Adverse_Event_Prediction,0.763,0.773,0.762,0.767,0.831,7958,961,5,Bayesian_Optimization
Neural_Network_GRS,Prognosis_Prediction,0.785,0.811,0.799,0.805,0.813,2736,1557,5,Random_Search
SVM_GRS,Disease_Risk_Prediction,0.741,0.747,0.739,0.743,0.712,3591,261,5,Random_Search
SVM_GRS,Treatment_Response_Prediction,0.826,0.766,0.867,0.813,0.738,3314,361,5,Grid_Search
SVM_GRS,Biomarker_Discovery,0.772,0.801,0.737,0.767,0.789,1204,1365,10,Grid_Search
SVM_GRS,Drug_Dosing_Optimization,0.796,0.806,0.785,0.795,0.777,3988,1162,5,Bayesian_Optimization
